Name	University	Country	
Zohra Bellahsene	Troy University, Montgomery	US	Semantic_integration;Schema_matching;Data_integration
Michael Tarsi	University of Arizona	US	Decomposition_(computer_science)
H. Attiya	Institute of Paper Science and Technology	US	
Guoli Ding	AISTEDA	RO	Infinite_graphs;Planar_graphs;Tree_decomposition;Directed_graphs
Mikkel Thorup	Business & Computer University College	LB	Minimum_spanning_tree;Graph_algorithms
M. Tennenholtz	Technion - Israel Institute of Technology	IL	
M. Voigt	State University of New York College of Environmental Science and Forestry	US	
Y. Ravid	Tel Aviv University	IL	Complete_graph
B. Ballobás	Cardiff University	GB	
Wolfgang Maass	Technische Universität Graz	AT	Neural_Networks_(journal);Reinforcement_learning
Oded Shmueli	University of Haifa	IL	Query_languages;Data_model_(ArcGIS);Relational_database;Web_services
Tom Boham	Carnegie Mellon University	US	
Gadi Taubenfeld	The Interdisciplinary Center Herzliya	IL	Mutual_exclusion
Mariusz Hałuszczak	Technical University of Zielona Gora	PL	
T. Jiang	China Academy of Art	CN	Expert_system;Machine_Learning_(journal)
Uri Stav	College of Science, Baghdad University	IQ	Hereditary_property;Random_graph
Z. Azar	Galillee College	IL	Deterministic_algorithm
Alejandro Cornejo	Massachusetts Institute of Technology	US	Network_model
R. Faudree	AISTEDA	RO	
G D Cohen	The Rockefeller University	US	Correlation_function
Moses Charikar	Princeton University	US	Approximation_algorithms;Dimension_reduction;Semidefinite_programming
Pierangelo Veltri	University of Bari	IT	Data_analysis;Data_mining
Sonny Ben-Shimon	Tel Aviv University	IL	
Rina Panigrahy	Missouri Tech	US	Nearest_neighbor_search;Approximation_algorithms;Sparse_matrix
Cosmin Cremarenco	AgroParisTech	FR	Access_control
Christian Knauer	Freie Universität Berlin	DE	Geometric_graphs;Approximation_algorithms;Planar_graphs;Approximation_algorithm
Simon N. Litsyn	Tel Aviv University	IL	
Nicoleta Preda	Tama Institute of Management and Information Sciences	JP	Web_service;Knowledge_base
Benny Sudakov	Athenaeum of Ohio	US	Random_graphs;Regular_graphs;Graph_products;Random_graph
Z Miller	Siam University	TH	
Ohad Greenshpan	Tel Aviv University	IL	
Oded Margalit	University of Haifa	IL	
Yuval Emek	Volgograd State University of Architecture and Civil Engineering (VolgGASU)	RU	Approximation_algorithm
Y. Kohayakawa	Universidade de São Paulo	BR	
Gregory Gutin	University of London	GB	Approximation_algorithms;Travelling_salesman_problem
Stefan Haar	AgroParisTech	FR	
Divesh Srivastava	AISTEDA	RO	Query_optimization
Anne-Marie Vercoustre	AgroParisTech	FR	Information_retrieval;XML_retrieval;Native_XML_database
E. Bachmat	ICT College	US	Approximation_algorithm
Ilan Newman	University of Haifa	IL	Approximation_algorithms;Minimum_spanning_tree
Sudeepa Roy	University of Washington	US	Data_item
I. Krasikov	University of the Philippines Open University	PH	BCH_code
Mark R. Tuttle	Coe College	US	Transactional_memory;Distributed_algorithms
Michal Koucký	McGill University	CA	Circuit_complexity;Polynomial_hierarchy;Kolmogorov_complexity;Computational_complexity_theory
András Gyárfás	Hungarian Academy of Craft and Design	HU	Chromatic_number
S. Safra	Weizmann Institute of Science	IL	
Sühleyman Cenk Sahinalp	University of Lapland	FI	
P Frankl	AgroParisTech	FR	
Tal Yadid	Oregon Health Sciences University	US	Approximation_algorithm
R. Rubinfeld	Massachusetts Institute of Technology	US	
Michal Feldman	Hebrew University of Jerusalem	IL	
Ehud Friedgut	Hebron University	PS	Boolean_function
P M Winkler	Emory University	US	
Amin Coja-Oghlan	Carnegie Mellon University	US	Random_graphs;Random_graph;Approximation_algorithms;Semidefinite_programming
A Ruciński	Walcz College	PL	
Omar Benjelloun	Stanford University	US	Web_service;Uncertain_data
Toshiya Itoh	Tokyo Institute of Technology	JP	Approximation_algorithms;Online_algorithms
Richard Beigel	Bethlehem University	PS	Adaptive_algorithm
Frédéric Hubert	Université Laval	CA	User_interface
Hiêp Hàn	Humboldt Universität Berlin	DE	
C J H Mcdiarmid	University of Oxford	GB	
Bettina Speckmann	Moscow State Institute of Radiotechnics, Electronics and Automation (Technical University)	RU	Planar_graphs;Kinetic_data_structures
Bernhard Haeupler	Massachusetts Institute of Technology	US	List_decoding;Approximation_algorithms;Data_structures
Jacques Verstraëte	University of Arizona	US	
Alex Scott	University of Oxford	GB	Complete_graph
Omar Benjellourn	AISTEDA	RO	
Maria Gradinariu Potop-Butucaru	Universität Passau	DE	Mobile_robot
C. G. Moreira	Universidade do Rio de Janeiro	BR	
Arnaud Sahuguet	Missouri Tech	US	Query_language;Cache_(computing)
Assaf Sagi	Tel Aviv University	IL	
H. Tracy Hall	Brigham Young University	US	Graph_(mathematics)
B. Aronov	Christchurch Polytechnic Institute of Technology	NZ	
G. Woeginger	Eindhoven University of Technology	NL	Scheduling_(computing);Dynamic_programming
Sébastien Tixeuil	Université Pierre et Marie Curie (Paris VI)	FR	
Y. Azar	Tel Aviv University	IL	
Daniel Lokshtanov	University of Berne	CH	Bipartite_graph;Vertex_cover;Directed_graphs
Kevin Matulef	Tsinghua University	CN	Boolean_function
Erik D. Demaine	University of Science and Arts of Oklahoma	US	Approximation_algorithms;Integer_programming;Dynamic_programming;Graph_algorithms
Ron Holzman	Technion - Israel Institute of Technology	IL	Aggregation_(linguistics);Quorum_(distributed_computing)
Shai Gutner	Tel Aviv University	IL	Approximation_algorithm
W. Fernandez de la Vega	Université de Bretagne Sud	FR	Random_graph
Bojan Mohar	Simon Fraser University	CA	Planar_graphs;Planar_graph;Complete_graph
P. K. Agarwal	Duke University	US	Artificial_neural_networks;Digital_image_processing;Computational_geometry
Vojtěch Rödl	Emory University	US	Independence_number;Random_graphs
Amit Agarwal	Purdue University	US	
Gil Kalai	Hebrew University of Jerusalem	IL	Linear_programming;Simplex_algorithm;Graph_property
Julien P. Stern	AgroParisTech	FR	
F R Chung	University of Pennsylvania	US	Random_graphs;Directed_graphs;Graph_theory;Planar_graphs
Mohammad Taghi Hajiaghayi	Massachusetts Institute of Technology	US	Approximation_algorithms;Directed_graphs;Approximation_algorithm;Graph_coloring
Péter Csorba	Information and Communications University	KR	
L Rónyai	Hungarian Academy of Craft and Design	HU	
P Pudlak	College of the Atlantic	US	Boolean_function
J Spencer	Texas A&M University	US	
Madhu Sudan	School of Banking and Management in Cracow	PL	List_decoding;Approximation_algorithms;Semidefinite_programming
Val Tannen	University of Pennsylvania	US	Query_languages;Data_integration;Semantic_Web;Query_optimization
Anastasios Sidiropoulos	Seiwa College	JP	Approximation_algorithm;Planar_graph
Eran Balan	Tel Aviv University	IL	
I. lgor	Tel Aviv University	IL	D_(data_language_specification)
D. Zuckerman	The New School	US	
