Name	University	Country	
Qing Liu	Duke University	US	http://dbpedia.org/resource/Finite_difference;http://dbpedia.org/resource/Fast_Fourier_transform;http://dbpedia.org/resource/Fast_Fourier_transform;http://dbpedia.org/resource/3D_reconstruction;http://dbpedia.org/resource/Fast_Fourier_transform
Shivakumar Vaithyanathan	Swiss Management Center	CH	http://dbpedia.org/resource/Information_extraction;http://dbpedia.org/resource/Information_retrieval;http://dbpedia.org/resource/Machine_learning;http://dbpedia.org/resource/Data_mining
Ronald L. Rivest	Thapar Institute of Engineering and Technology	IN	http://dbpedia.org/resource/Scantegrity
J. W. Mehl	AISTEDA	RO	http://dbpedia.org/resource/Relational_approach_to_quantum_physics;http://dbpedia.org/resource/Database_management_system
D. E. Thomas	University of Bristol	GB	http://dbpedia.org/resource/Insecticide;http://dbpedia.org/resource/Honey;http://dbpedia.org/resource/Radiation
Yaping Li	Colby College	US	http://dbpedia.org/resource/Cancer;http://dbpedia.org/resource/Nanoparticle;http://dbpedia.org/resource/Multidrug_resistance-associated_protein_2
Sharad Mehrotra	University of Calabria	IT	http://dbpedia.org/resource/Unstructured_data;http://dbpedia.org/resource/Data_management;http://dbpedia.org/resource/Database_system;http://dbpedia.org/resource/Distributed_database
Donald D. Chamberlin	Elon College	US	http://dbpedia.org/resource/Relational_database;http://dbpedia.org/resource/QUEL_query_languages;http://dbpedia.org/resource/Dynamic_Data_Exchange;http://dbpedia.org/resource/Query_language
Moshe Y. Vardi	Mokpo National University	KR	http://dbpedia.org/resource/Model_checking;http://dbpedia.org/resource/Theorem_prover;http://dbpedia.org/resource/Formal_verification;http://dbpedia.org/resource/Constraint_satisfaction_problem;http://dbpedia.org/resource/Logic_programming
Yi Han	Wuhan University	CN	http://dbpedia.org/resource/Job_performance;http://dbpedia.org/resource/Organizational_commitment
Yi Du	Lanzhou University	CN	http://dbpedia.org/resource/Supply_chain;http://dbpedia.org/resource/Culture_change
Eli Berger	University of Haifa	IL	http://dbpedia.org/resource/Complete_graph;http://dbpedia.org/resource/Hypergraph
David Fox	Arab Academy for Banking and Financial Sciences	JO	http://dbpedia.org/resource/University_of_Arizona;http://dbpedia.org/resource/University_of_California,_Berkeley;http://dbpedia.org/resource/University_of_Texas_at_Austin;http://dbpedia.org/resource/Arizona_State_University;http://dbpedia.org/resource/Latin_American_music
Russ B. Altman	Stanford University	US	http://dbpedia.org/resource/Data_mining;http://dbpedia.org/resource/Scientific_Data_Systems;http://dbpedia.org/resource/Biomedical_Informatics_Research_Network;http://dbpedia.org/resource/World_Wide_Web;http://dbpedia.org/resource/Relational_database
Yennun Huang	Berea College	US	http://dbpedia.org/resource/Fault-tolerant_design;http://dbpedia.org/resource/Load_balancing_(computing);http://dbpedia.org/resource/Distributed_Systems_Technology_Centre
Sugato Basu	Ecole de l'Air	FR	http://dbpedia.org/resource/Clustering_algorithm;http://dbpedia.org/resource/Special_case
Gadi Taubenfeld	The Interdisciplinary Center Herzliya	IL	http://dbpedia.org/resource/Shared_memory;http://dbpedia.org/resource/Mutual_exclusion
David W. Cheung	University of Hong Kong	HK	http://dbpedia.org/resource/Uncertain_data;http://dbpedia.org/resource/Distributed_algorithm;http://dbpedia.org/resource/Cluster_analysis
